practice,period,total_scripts,total_quantity,high_dose_scripts,high_dose_quantity,hd_script_ratio,hd_quantity_ratio
A81001,2018-01-01,12,341,0,0,0,0
A81001,2018-02-01,10,257,0,0,0,0
A81001,2018-03-01,11,320,0,0,0,0
A81001,2018-04-01,10,282,0,0,0,0
A81001,2018-05-01,13,388,0,0,0,0
A81001,2018-06-01,11,220,0,0,0,0
A81001,2018-08-01,16,396,0,0,0,0
A81001,2018-09-01,7,152,0,0,0,0
A81001,2018-10-01,11,244,0,0,0,0
A81001,2018-11-01,10,236,0,0,0,0
A81002,2018-01-01,54,1426,0,0,0,0
A81002,2018-02-01,45,1184,0,0,0,0
A81002,2018-03-01,52,1328,0,0,0,0
A81002,2018-04-01,55,1326,0,0,0,0
A81002,2018-05-01,46,1084,0,0,0,0
A81002,2018-06-01,48,1138,0,0,0,0
A81002,2018-08-01,48,1108,0,0,0,0
A81002,2018-09-01,50,1178,0,0,0,0
A81002,2018-10-01,51,1270,0,0,0,0
A81002,2018-11-01,46,1130,0,0,0,0
A81004,2018-01-01,9,300,0,0,0,0
A81004,2018-02-01,16,400,0,0,0,0
A81004,2018-03-01,18,408,0,0,0,0
A81004,2018-04-01,22,484,0,0,0,0
A81004,2018-05-01,18,476,0,0,0,0
A81004,2018-06-01,13,324,0,0,0,0
A81004,2018-08-01,20,452,0,0,0,0
A81004,2018-09-01,19,540,0,0,0,0
A81004,2018-10-01,23,492,0,0,0,0
A81004,2018-11-01,21,522,0,0,0,0
A81005,2018-01-01,26,624,0,0,0,0
A81005,2018-02-01,27,560,0,0,0,0
A81005,2018-03-01,45,1144,0,0,0,0
A81005,2018-04-01,32,736,0,0,0,0
A81005,2018-05-01,35,784,0,0,0,0
A81005,2018-06-01,38,920,0,0,0,0
A81005,2018-08-01,36,840,0,0,0,0
A81005,2018-09-01,31,712,0,0,0,0
A81005,2018-10-01,29,692,0,0,0,0
A81005,2018-11-01,36,832,0,0,0,0
A81007,2018-01-01,18,516,0,0,0,0
A81007,2018-02-01,17,468,0,0,0,0
A81007,2018-03-01,14,380,0,0,0,0
A81007,2018-04-01,22,588,0,0,0,0
A81007,2018-05-01,13,294,0,0,0,0
A81007,2018-06-01,15,366,0,0,0,0
A81007,2018-08-01,17,416,0,0,0,0
A81007,2018-09-01,14,386,0,0,0,0
A81007,2018-10-01,12,308,0,0,0,0
A81007,2018-11-01,18,488,0,0,0,0
A81009,2018-01-01,10,328,0,0,0,0
A81009,2018-02-01,15,400,0,0,0,0
A81009,2018-03-01,10,292,0,0,0,0
A81009,2018-04-01,14,340,0,0,0,0
A81009,2018-05-01,15,388,0,0,0,0
A81009,2018-06-01,13,360,0,0,0,0
A81009,2018-08-01,13,320,0,0,0,0
A81009,2018-09-01,13,340,0,0,0,0
A81009,2018-10-01,11,316,0,0,0,0
A81009,2018-11-01,11,272,0,0,0,0
A81011,2018-01-01,19,696,0,0,0,0
A81011,2018-02-01,17,504,0,0,0,0
A81011,2018-03-01,17,584,0,0,0,0
A81011,2018-04-01,15,436,0,0,0,0
A81011,2018-05-01,17,608,0,0,0,0
A81011,2018-06-01,17,496,0,0,0,0
A81011,2018-08-01,17,536,0,0,0,0
A81011,2018-09-01,21,632,0,0,0,0
A81011,2018-10-01,16,480,0,0,0,0
A81011,2018-11-01,16,388,0,0,0,0
A81012,2018-01-01,11,156,0,0,0,0
A81012,2018-02-01,11,176,0,0,0,0
A81012,2018-03-01,13,212,0,0,0,0
A81012,2018-04-01,10,164,0,0,0,0
A81012,2018-05-01,13,216,0,0,0,0
A81012,2018-06-01,11,184,0,0,0,0
